image,name,price,supermarket_name,category
https://metroio.vtexassets.com/arquivos/ids/244555-144-144?v=638173936146000000&width=144&height=144&aspect=true,Galleta de Arroz Baby Mum-Mum Manzana Caja 50 gr ,S/ 12.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494522-144-144?v=638338527760230000&width=144&height=144&aspect=true,PLAYSET VETERINARIO ARMABLE ,S/ 35.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461110-144-144?v=638285929841970000&width=144&height=144&aspect=true,Shampoo para Bebé Johnson's Manzanilla 1L ,S/ 43.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494186-144-144?v=638337765794800000&width=144&height=144&aspect=true,Pack Pañales Pampers Premium Care + Pants Talla XXG 120un ,S/ 145.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/318080-144-144?v=638180563705070000&width=144&height=144&aspect=true,Shampoo Para Bebé Family Care Manzanilla Frasco 400 ml ,S/ 9.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/395699-144-144?v=638180785205070000&width=144&height=144&aspect=true,Tripack Jabón en Barra Dove Baby Humectación Enriquecida 75g ,S/ 10.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/245600-144-144?v=638173940437300000&width=144&height=144&aspect=true,Toallitas Húmedas Huggies Cuidado 4 en 1 80un ,S/ 15.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/420207-144-144?v=638279895241600000&width=144&height=144&aspect=true,Toallitas Húmedas Minnie Tuinies Paquete 25 unid Surtido ,S/ 3.20 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/512381-144-144?v=638430214727100000&width=144&height=144&aspect=true,Cereal Infantil en Polvo Nestum Trigo Quinua y Otros Cereales 350g ,S/ 19.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461122-144-144?v=638285930217400000&width=144&height=144&aspect=true,Acondicionador Cabello Claro Johnson's Baby Frasco 400 ml ,S/ 27.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/318096-144-144?v=638180563715200000&width=144&height=144&aspect=true,Baño Líquido Family Care de Avena con Efecto Suavizante Frasco 400 ml ,S/ 9.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494507-144-144?v=638338527697400000&width=144&height=144&aspect=true,MI PRIMER MICROFONO ,S/ 19.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/405620-144-144?v=638181138924130000&width=144&height=144&aspect=true,Pañales para Bebé Pampers Premium Care Talla G 72un ,S/ 83.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494539-144-144?v=638338529626030000&width=144&height=144&aspect=true,DINOSAURIOS L/S SURT ,S/ 35.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/366190-144-144?v=638180585098330000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Premium Talla M 68un ,S/ 50.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461129-144-144?v=638285930435100000&width=144&height=144&aspect=true,Acondicionador Hidratación Intensa Johnson's Baby Frasco 400 ml ,S/ 27.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/244513-144-144?v=638173935939400000&width=144&height=144&aspect=true,Crema Protectora para Bebés Desitin Original 113g ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/479552-144-144?v=638319743898300000&width=144&height=144&aspect=true,Toallitas Húmedas Babysec Super Premium 40un ,S/ 8.99 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/361202-144-144?v=638180582988630000&width=144&height=144&aspect=true,Pañales Pampers Premium Care Talla M 86un ,S/ 83.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/318092-144-144?v=638180563713030000&width=144&height=144&aspect=true,Jabón Liquido Para Bebé Family Care de Leche Limpieza Suave Frasco 400 ml ,S/ 9.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/435323-144-144?v=638281532586700000&width=144&height=144&aspect=true,Toallitas Húmedas Pampers Recién Nacido 192un ,S/ 35.30 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/401119-144-144?v=638181127208430000&width=144&height=144&aspect=true,Pañales Pampers Premium Care Pants Talla XG 52un ,S/ 74.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/496215-144-144?v=638343599520300000&width=144&height=144&aspect=true,Toallitas Húmedas Pequeñín Multi Cuidado 160un ,S/ 12.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/379619-144-144?v=638180592213370000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Súper Premium Talla G 52un ,S/ 50.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/300601-144-144?v=638179472674900000&width=144&height=144&aspect=true,Juguete Preescolar Fisher Price Auto de Actividades ,S/ 44.99 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/396315-144-144?v=638180789565030000&width=144&height=144&aspect=true,Jabón Líquido Sensible Dove Baby 180ml ,S/ 10.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/318099-144-144?v=638180563717700000&width=144&height=144&aspect=true,Baño Líquido Corporal  Family Care con Extracto de Manzanilla 400ml ,S/ 9.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/249124-144-144?v=638173949631270000&width=144&height=144&aspect=true,Pañales para Bebé Pampers Recién Nacido Talla RN 20un ,S/ 15.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/418735-144-144?v=638279377451070000&width=144&height=144&aspect=true,Salvy Natural Limpiador Para Biberones 1000 ml ,S/ 55.70 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/413473-144-144?v=638279064716270000&width=144&height=144&aspect=true,Desenredante de Cabello Fuerza y Vitamina Johnson's Baby Spray 200 ml ,S/ 19.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/396312-144-144?v=638180789544600000&width=144&height=144&aspect=true,Jabón Dove Baby Hidratante 75g ,S/ 4.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/251907-144-144?v=638173962525930000&width=144&height=144&aspect=true,Shampoo Ammens Original Frascojín 400 ml ,S/ 18.80 ,metro,Cuidado del Bebe
