image,product_brand,name,price,supermarket_name,category
https://plazavea.vteximg.com.br/arquivos/ids/10050694-184-184/20271596.jpg?v=637859394692500000,SANTA PRISCILA,Filete de Tilapia Apanada SANTA PRISCILA Bolsa...,S/ 32.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363486-184-184/20127189.jpg?v=638276834868030000,EL BUEN CORTE,Panceta de Cerdo con Hueso sin Piel EL BUEN CO...,S/ 33.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363434-184-184/94796.jpg?v=638276833459900000,EL BUEN CORTE,Asado Pejerrey de Res EL BUEN CORTE,S/ 48 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/446715-184-184/20073973.jpg?v=637390604785870000,PLAZA VEA,Bonito Entero Congelado,S/ 4.99 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518438-184-184/980254.jpg?v=637417676043670000,PLAZA VEA,Panceta de Cerdo sin Piel,S/ 32.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/520149-184-184/20206296.jpg?v=637417834426130000,A-1,Anillas de Calamar A1 Bolsa 500g,S/ 18.32 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/585174-184-184/20206008.jpg?v=637435927739530000,PISCIS,Porciones de Trucha PISCIS Bolsa 500g,S/ 24.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/8558580-184-184/20073744.jpg?v=637835010427270000,BELL'S,Filete de Trucha BELL'S Congelado con Piel Bol...,S/ 28.50 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518608-184-184/20189496.jpg?v=637417682369500000,REDONDOS,Pollo Entero Aderezo Leña REDONDOS Paquete 1Kg,S/ 16.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518436-184-184/980291.jpg?v=637417675981330000,PLAZA VEA,Chuleta Parrillera de Cerdo,S/ 18.48 x kg,plazavea,"Carnes, aves y pescados"
